Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:biscuits,Ireland,en:ireland,ie,1,Yes,Categorize existing one,20471613,To do,
en:fruit-cakes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099420032864,To do,
en:fruit-tarts,Ireland,en:ireland,ie,1,Yes,Categorize existing one,2000000262642,To do,
en:scones,Ireland,en:ireland,ie,1,Yes,Categorize existing one,287521001000,To do,
en:sponge-cakes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099874315223,To do,
en:raw-puff-pastry,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:cereal-pastas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4088600103808,To do,
en:peppers,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,5099874251910,To do,
en:bacon,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,4088600206844,To do,
en:white-hams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391512929824,To do,
en:hams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391512929824,To do,
en:black-pudding,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099490000404,To do,
en:Boudins,Ireland,en:ireland,ie,0,Yes,Categorize existing one,,To do,
en:pork-sausages,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391524663174,To do,
en:cheddar-cheese,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,20515690,To do,
en:mozzarella,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,5099839623370,To do,
en:processed-cheese-in-slices,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,4056489091585,To do,
en:processed-cheeses,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,4056489091585,To do,
en:custards-and-pastry-creams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489913559,To do,
en:ice-creams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489252221,To do,
en:yogurt-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,680569854124,To do,
en:flavoured-yogurts,Ireland,en:ireland,ie,1,Yes,Categorize existing one,852614006936,To do,
en:plain-cow-milk-yogurts,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,,To do,
en:multivitamin-and-mineral-supplements,Ireland,en:ireland,ie,1,Yes,Categorize existing one,735850866840,To do,
en:mct-powder,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:meat-analogues,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5034467000223,To do,
en:vegan-products,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5411188121213,To do,
en:meat-alternatives,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5036829756304,To do,
en:plant-based-creams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4088600179131,To do,
