Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:wholemeal-breads,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311070008708,To do,
en:breads,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311073456780,To do,
en:breads,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311073456780,To do,
en:wheat-breads,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311070337297,To do,
en:extruded-cereals,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7312560057404,To do,
en:mueslis,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310240001785,To do,
en:filled-biscuits,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7622210137258,To do,
en:special-breads,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311379536292,To do,
en:hamburger-buns,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311379536292,To do,
en:cream-pies,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:pancakes,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7340083467127,To do,
en:dry-pastas,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8076809523738,To do,
en:canned-common-beans,Sweden,en:sweden,sv,1,Yes,Categorize existing one,5000157024671,To do,
en:cured-hams,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7350027793724,To do,
en:hams,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7300156582225,To do,
en:cured-sausages,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7340083404610,To do,
en:frankfurter-sausages,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:uncooked-pressed-cheeses,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,20618339,To do,
en:cheeses,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,7310865008060,To do,
en:hard-cheeses,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,,To do,
en:semi-cured-cheese,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,,To do,
en:mozzarella,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,5420024102019,To do,
en:quarks,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,4016241050526,To do,
en:fermented-dairy-desserts-with-fruits,Sweden,en:sweden,sv,1,Yes,Categorize existing one,6408432096105,To do,
en:fruit-quarks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,6408432096105,To do,
en:quarks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,4016241050526,To do,
en:flavoured-fermented-dairy-desserts,Sweden,en:sweden,sv,1,Yes,Categorize existing one,6408432106569,To do,
en:ice-creams,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7312690021405,To do,
en:cremes-fraiches,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7340083435997,To do,
en:Filmjölk med frukt,Sweden,en:sweden,sv,0,Maybe,Categorize existing one,,To do,
en:yogurt-drinks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310865087935,To do,
en:flavoured-yogurts,Sweden,en:sweden,sv,1,Yes,Categorize existing one,6408432106569,To do,
en:plain-cow-milk-yogurts,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,,To do,
en:oat-based-drinks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7394376623912,To do,
en:cheese-sauces,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7350115940207,To do,
en:gravy,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:hollandaise-sauce,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7318690100775,To do,
en:mayonnaises,Sweden,en:sweden,sv,1,Yes,Categorize existing one,5000184321064,To do,
en:cooked-oat-flakes,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:ketchup,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8715700016504,To do,
en:vinegars,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311041068786,To do,
en:beef-broth,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8714100783511,To do,
en:vegetable-bouillon-cubes,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8712100816017,To do,
en:potato-flakes,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,,To do,
en:candies,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7350054797405,To do,
en:chewing-gum,Sweden,en:sweden,sv,1,Yes,Categorize existing one,4009900484220,To do,
en:cocoa-and-its-products,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310350118342,To do,
en:chocolate-cakes,Sweden,en:sweden,sv,1,Yes,Categorize existing one,5701920504320,To do,
en:milk-chocolates,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7622201727543,To do,
en:pickled-gherkins,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310240050820,To do,
en:pickled-cucumbers,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7318690003366,To do,
en:pickled-vegetables,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7318690003366,To do,
en:plant-based-pickles,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310240150131,To do,
en:pickles,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310240150131,To do,
en:canned-tomatoes,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311043007486,To do,
en:canned-sweet-corn,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7318690096085,To do,
en:canned-tomato-purees,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:colas,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310070005250,To do,
en:diet-cola-soft-drink,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310070005250,To do,
en:energy-drinks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,5060335635716,To do,
en:dietary-drink-for-sport,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8001160001786,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310070000279,To do,
en:still-fruit-soft-drink-with-less-than-10-of-fruit-juice-without-sugar-and-with-artificial-sweeteners,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
