Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:brioches,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:Gâches,Latvia,en:latvia,lv,0,Yes,Categorize existing one,,To do,
en:canned-peas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,3083680047364,To do,
en:peppers,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,7311311005442,To do,
en:pork-and-its-products,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,4751031250129,To do,
en:white-hams,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:cured-hams,Latvia,en:latvia,lv,1,Yes,Categorize existing one,8428204007434,To do,
en:hams,Latvia,en:latvia,lv,1,Yes,Categorize existing one,8428204007434,To do,
en:dry-sausages,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:frankfurter-sausages,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:mortadella,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:lithuanian-curd-cheese,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,4750109018692,To do,
en:uncooked-pressed-cheeses,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,8718754274043,To do,
en:cheeses,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,4750050526000,To do,
en:hard-cheeses,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,20002329,To do,
en:semi-cured-cheese,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,,To do,
en:hard-cheeses,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,20002329,To do,
en:kefir,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,4752050206029,To do,
en:sour-creams,Latvia,en:latvia,lv,1,Maybe,Categorize existing one,4750072043196,To do,
en:flavoured-yogurts,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:creams,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750072043196,To do,
en:gravy,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750004010029,To do,
en:ketchup,Latvia,en:latvia,lv,1,Yes,Categorize existing one,8711200398553,To do,
en:vinegars,Latvia,en:latvia,lv,1,Yes,Categorize existing one,8715035614000,To do,
en:white-butter-sauces,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:meats-and-their-products,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750174443672,To do,
en:bouillon-cubes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:spice-mix,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:chocolates,Latvia,en:latvia,lv,1,Yes,Categorize existing one,3173281446595,To do,
en:bonbons,Latvia,en:latvia,lv,1,Yes,Categorize existing one,5900951247972,To do,
en:milk-chocolates,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4000607854606,To do,
en:plant-based-pickles,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750239578721,To do,
en:pickles,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750239578721,To do,
en:pickled-gherkins,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750239578721,To do,
en:pickled-cucumbers,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750239578721,To do,
en:pickled-vegetables,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750239578721,To do,
en:sauerkrauts,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751001621034,To do,
en:tomato-pastes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:colas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,5000112651300,To do,
en:carbonated-soft-drinks-without-fruit-juice,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
